FileSizeMB,BlockSizeMB,ChunkSizeMB,ThroughputMBs,CPU
2000,67108864,1048576,2.35428256358299194062e+02,1.33195916764821369327e+01
2000,67108864,1048576,3.40768098108498520560e+02,1.31649879415519919235e+01
2000,67108864,1048576,3.56615511954554335716e+02,1.26040428061831164541e+01
2000,67108864,1048576,3.34118065296025292810e+02,1.28672886784570401630e+01
2000,67108864,1048576,3.97694327367653272631e+02,1.29433211799801135555e+01
2000,67108864,2097152,4.01338705385684477278e+02,1.30085384229030633918e+01
2000,67108864,2097152,3.96875557486134653118e+02,1.24172185430463564160e+01
2000,67108864,2097152,3.73418293463462134696e+02,1.23791705643903959810e+01
2000,67108864,2097152,3.64625559631866735799e+02,1.25266038309516574145e+01
2000,67108864,2097152,3.57680335718763103614e+02,1.26640811455847277500e+01
2000,67108864,4194304,3.49187980810025351275e+02,1.34557016909958075956e+01
2000,67108864,4194304,3.43699540611194038320e+02,1.26106826620965453145e+01
2000,67108864,4194304,3.60837185570986946459e+02,1.27291854523594842874e+01
2000,67108864,4194304,4.05609086941496570944e+02,1.24597389388031878354e+01
2000,67108864,4194304,3.91234393415525175897e+02,1.26204081632653064560e+01
2000,67108864,8388608,3.21930345862647754984e+02,1.29408609360332569338e+01
2000,67108864,8388608,3.53043018997950923676e+02,1.24319552743857588695e+01
2000,67108864,8388608,3.91648257566693303033e+02,1.29084967320261458923e+01
2000,67108864,8388608,3.59691593234129186385e+02,1.41979010494752611038e+01
2000,67108864,8388608,3.67531056833716263554e+02,1.32567049808429118229e+01
2000,67108864,16777216,3.89699843438087896175e+02,1.27742564602632864279e+01
2000,67108864,16777216,4.00347181075428636632e+02,1.26040626040626051463e+01
2000,67108864,16777216,3.75947269635960878986e+02,1.28152906156979469188e+01
2000,67108864,16777216,3.74775017872083651582e+02,1.25879593432369034645e+01
2000,67108864,16777216,3.51493910631618746265e+02,1.27014356870788152065e+01
2000,67108864,33554432,3.23128817565024007763e+02,1.28243043419814490846e+01
2000,67108864,33554432,3.65248237312006722277e+02,1.26122014300928029229e+01
2000,67108864,33554432,3.78572135690096331473e+02,1.27307146237576915837e+01
2000,67108864,33554432,3.92890257893165255609e+02,1.31273500081739413758e+01
2000,67108864,33554432,3.52262263482309720075e+02,1.23914643119941132454e+01
4000,67108864,1048576,2.43307818453438187589e+02,1.27354897679378460396e+01
4000,67108864,1048576,2.95800993965289990228e+02,1.27243569974711654424e+01
4000,67108864,1048576,3.38579166072742395954e+02,1.29809725158562372371e+01
4000,67108864,1048576,3.45050947203668329166e+02,1.26665226470800025282e+01
4000,67108864,1048576,3.18399545580168535253e+02,1.25938226502822985253e+01
4000,67108864,2097152,3.31419660974257794805e+02,1.26623376623376611150e+01
4000,67108864,2097152,3.40021470655764574076e+02,1.25566893424036294391e+01
4000,67108864,2097152,3.14467905759314589886e+02,1.32818128233676091554e+01
4000,67108864,2097152,3.43460288563313326904e+02,1.24596745286400452102e+01
4000,67108864,2097152,3.86628978073884013611e+02,1.27095422308188261695e+01
