FileSizeMB,BlockSizeMB,ChunkSizeMB,ThroughputMBs,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,CPU9,CPU10,CPU11
2000,67108864,1048576,3.16259085135206305495e+02,3.16455696202531662209e+01,2.17460317460317469340e+01,2.26114649681528661063e+01,1.48626817447495955804e+01,2.06451612903225800721e+01,2.59904912836767039153e+01,5.07131537242472241189e+00,2.92063492063492091688e+01,2.90937996820349766836e+01,5.31199999999999974420e+01,3.16957210776545172948e+00,1.26382306477093191432e+01
2000,67108864,1048576,3.64975625102877529571e+02,1.58273381294964021748e+01,2.72893772893772883492e+01,1.42335766423357661381e+01,2.22018348623853221113e+01,2.22018348623853221113e+01,7.31261425959780630990e+00,2.04081632653061220140e+01,4.37269372693726978696e+01,1.78308823529411775155e+01,3.09653916211293243066e+01,5.37892791127541656238e+01,1.53564899451553937837e+01
2000,67108864,1048576,3.71594913237232674419e+02,5.08348794063079765237e+01,3.16479400749063657372e+01,2.19512195121951236843e+01,2.82485875706214706327e+01,2.92682926829268268420e+01,5.20446096654275081050e+00,8.37988826815642440238e+00,2.86516853932584254494e+01,2.34521575984990633401e+01,2.42085661080074476814e+00,2.07089552238805971740e+01,1.73752310536044376477e+01
2000,67108864,1048576,3.91540838492536465765e+02,3.19444444444444428655e+01,1.43137254901960773168e+01,3.41176470588235289938e+01,6.32612966601178854376e+01,1.41153081510934388376e+01,1.43700787401574796576e+01,2.01171875000000000000e+01,1.74509803921568611429e+01,2.78752436647173489348e+01,1.53846153846153850253e+01,3.32681017612524421168e+00,2.24609375000000000000e+01
2000,67108864,1048576,4.24557239868472152011e+02,2.83582089552238798547e+01,5.08474576271186506915e+00,4.28265524625267701708e+01,1.90274841437632140639e+01,6.15384615384615401013e+01,2.83261802575107317637e+01,7.84313725490196045342e+00,1.65605095541401254877e+01,4.64135021097046429617e+00,3.44753747323340462572e+01,1.21276595744680850686e+01,8.52878464818763282196e-01
2000,67108864,2097152,4.18536653556703527101e+02,5.79497907949790800330e+01,3.01455301455301487579e+01,2.67223382045928978812e+01,2.46315789473684212396e+01,2.71966527196652751996e+00,2.17118997912317333032e+01,1.44957983193277328837e+01,2.40083507306889352151e+01,2.31732776617954066012e+01,1.21848739495798312760e+01,6.31578947368421061981e+00,2.46724890829694309957e+01
2000,67108864,2097152,4.70809127859047293896e+02,2.34299516908212588362e+01,1.21495327102803738484e+01,8.91252955082742204240e+01,4.25882352941176520744e+01,1.20000000000000000000e+01,3.03738317757009346209e+00,1.66666666666666642982e+01,2.60663507109004743967e+00,2.88732394366197198110e+01,3.09523809523809534383e+00,2.87058823529411739628e+01,1.17924528301886795134e+01
2000,67108864,2097152,4.61794046782045882082e+02,2.29885057471264353524e+01,2.54041570438799046983e+00,9.83833718244803634434e+01,4.80278422273781941954e+01,8.98617511520737366482e+00,3.26340326340326303267e+00,1.93853427895981091922e+01,1.01851851851851851194e+01,2.71461716937354999857e+01,3.91705069124423932436e+00,2.13615023474178400420e+01,5.33642691415313219494e+00
2000,67108864,2097152,4.06002420992436384495e+02,1.57575757575757560147e+01,3.16430020283975643736e+01,6.21676891615541933334e+01,1.69387755102040813426e+01,1.36734693877551016783e+01,1.40816326530612236922e+01,3.29896907216494810200e+01,2.03665987780040751431e+01,2.56619144602851356751e+01,3.25203252032520362391e+00,2.16216216216216210455e+01,6.54396728016360018643e+00
2000,67108864,2097152,4.19243353787517833098e+02,3.53430353430353427768e+00,3.03347280334728033324e+01,1.67714884696016786059e+00,2.37894736842105274377e+01,2.30607966457023039197e+00,5.28541226215644854847e+00,4.72916666666666642982e+01,2.24318658280922420545e+01,9.64360587002096423248e+01,9.03361344537815114109e+00,1.38297872340425538340e+01,8.22784810126582222267e+00
