FileSizeMB,BlockSizeMB,ChunkSizeMB,ThroughputMBs,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,CPU9,CPU10,CPU11
2000,67108864,1048576,3.49007675202289192384e+02,9.09090909090909171653e+00,8.47457627118643941344e+00,1.62020905923344962218e+01,1.29824561403508766944e+01,1.50612959719789820667e+01,1.06457242582897038119e+01,3.46153846153846131983e+01,1.37152777777777785673e+01,6.15114235500878692164e+00,9.94764397905759167884e+00,1.02787456445993026222e+01,6.99300699300699335481e+00
2000,67108864,1048576,5.18797727769711968904e+02,5.65552699228791766473e+00,5.30303030303030276116e+00,2.44155844155844157228e+01,2.00520833333333357018e+01,1.56657963446475196889e+01,3.76623376623376628913e+01,3.63636363636363624252e+00,1.04438642297650141622e+00,1.57480314960629925736e+01,1.03626943005181342272e+01,8.76288659793814339594e+00,1.55038759689922489571e+00
2000,67108864,1048576,5.32298403291094587075e+02,1.51832460732984291241e+01,7.49354005167958714395e+00,1.14666666666666667851e+01,2.16000000000000014211e+01,2.54010695187165786990e+01,1.93121693121693098760e+01,9.54907161803713400161e+00,9.59999999999999964473e+00,1.64456233421750681600e+01,8.73015873015872934104e+00,6.57894736842105221086e+00,1.04838709677419359423e+01
2000,67108864,1048576,5.02751306524957840338e+02,9.57178841309823624783e+00,8.86699507389162633331e+00,1.13065326633165827985e+01,1.17647058823529402360e+01,1.30653266331658297617e+01,1.56171284634760709764e+01,1.76767676767676751304e+00,1.43216080402010064176e+01,1.04060913705583768518e+01,2.84634760705289657778e+01,1.10831234256926958182e+01,1.72151898734177208894e+01
2000,67108864,1048576,5.24579706738960794610e+02,4.97382198952879583942e+00,1.06598984771573608299e+01,1.09375000000000000000e+01,2.35602094240837711681e+00,8.42105263157894690096e+00,3.16622691292876012881e+01,1.13157894736842106198e+01,2.15223097112860877189e+01,1.23684210526315787604e+01,1.39473684210526300831e+01,7.63157894736842123962e+00,1.51041666666666660745e+01
2000,67108864,1048576,5.06585228025409321617e+02,7.32323232323232353735e+00,1.34328358208955229713e+01,2.44332493702770783273e+01,7.67263427109974416318e-01,1.55778894472361812973e+01,1.01265822784810133328e+00,2.58883248730964474760e+01,5.06329113924050666640e-01,2.17721518987341760010e+01,6.53266331658291488083e+00,2.62755102040816304054e+01,6.59898477157360474621e+00
2000,67108864,1048576,4.90023249153056042360e+02,1.53658536585365848026e+01,9.63855421686747071419e+00,3.92156862745098022671e+00,2.46943765281173597259e+01,2.84313725490196063106e+01,9.55882352941176449690e+00,1.94103194103194098830e+01,1.87804878048780494737e+01,1.93154034229828859281e+01,2.94840294840294836476e+00,4.41176470588235325465e+00,3.19410319410319409883e+00
2000,67108864,1048576,5.23171391732688675802e+02,1.07049608355091372403e+01,4.71204188481675423361e+00,8.59375000000000000000e+00,1.46529562982005145955e+01,1.30890052356020945012e+01,2.00000000000000000000e+01,2.36842105263157876038e+01,7.85340314136125594580e-01,1.70603674540682419547e+01,7.34908136482939600143e+00,2.61780104712041890025e+01,5.52631578947368407029e+00
2000,67108864,1048576,5.18906891498644654348e+02,4.66321243523316031343e+00,1.36950904392764858386e+01,2.19072164948453611544e+01,1.92405063291139235560e+01,5.44041450777202051370e+00,1.13110539845758353295e+01,1.88481675392670169344e+01,1.80412371134020599328e+00,1.03359173126615000449e+00,4.46194225721784754057e+00,4.84455958549222813758e+01,2.84237726098191201274e+00
2000,67108864,1048576,5.38735630573893558903e+02,1.99460916442048521446e+01,3.25203252032520362391e+00,3.75335120643431618959e+00,2.09973753280839900981e+01,1.91374663072776272088e+01,1.87165775401069511830e+00,1.84281842818428174269e+01,2.70270270270270285273e-01,4.38356164383561619502e+01,6.73854447439353076987e+00,6.23306233062330594663e+00,4.89130434782608691791e+00
2000,67108864,1048576,5.15098701925516252231e+02,7.96915167095115606344e+00,1.36246786632390737282e+01,6.94087403598971786067e+00,1.02756892230576433178e+01,4.33673469387755119442e+01,6.47668393782383322588e+00,1.10824742268041234183e+01,5.14138817480719767516e-01,9.74358974358974450070e+00,1.76165803108808276534e+01,1.20512820512820510999e+01,1.52454780361757116225e+01
2000,67108864,1048576,5.09553361192314127948e+02,7.16112531969309440427e+00,9.46291560102301865243e+00,1.77377892030848336447e+01,1.58415841584158414435e+01,2.60204081632653085876e+01,1.89873417721519004431e+01,6.87022900763358812526e+00,1.72588832487309637997e+01,6.87022900763358812526e+00,1.76470588235294130186e+01,8.20512820512820439944e+00,6.36132315521628477484e+00
2000,67108864,1048576,5.05400456578772491412e+02,9.16030534351144964944e+00,1.00755667506297230673e+00,1.35204081632653068112e+01,9.13580246913580218404e+00,1.98473282442748093501e+01,1.54430379746835431121e+01,2.02531645569620266656e+00,1.46835443037974684444e+01,2.48101265822784782245e+01,9.82367758186397921349e+00,2.36180904522613062113e+01,6.31313131313131314926e+00
2000,67108864,1048576,5.32712545646806233890e+02,2.41379310344827580082e+01,1.19680851063829791769e+01,1.37203166226912927073e+01,4.65116279069767468712e+00,8.22281167108753408002e+00,1.71122994652406390514e+01,1.06951871657753994072e+00,5.31914893617021267147e-01,4.59677419354838718846e+01,4.78723404255319184841e+00,1.51999999999999992895e+01,1.88679245283018870438e+00
2000,67108864,1048576,5.28778226181713534970e+02,7.40740740740740655212e+00,1.78477690288713901623e+01,1.32275132275132261128e+01,4.10256410256410219972e+00,1.62666666666666657193e+01,2.81167108753315631020e+01,1.32625994694960214204e+00,1.32275132275132278892e+00,2.05263157894736849585e+01,8.42105263157894690096e+00,3.68421052631578893610e+00,3.47368421052631575208e+01
2000,67108864,1048576,5.03256193385250924166e+02,5.27638190954773822483e+00,3.58585858585858545666e+01,5.51378446115288234353e+00,7.73067331670822976974e+00,7.34177215189873422219e+00,1.84538653366583531579e+01,1.50753768844221092138e+00,1.11111111111111107164e+01,1.58690176322418139421e+01,6.75000000000000000000e+00,1.62907268170426071663e+01,1.86397984886649865643e+01
2000,67108864,1048576,5.00046879394943289299e+02,6.54911838790931977172e+00,4.01496259351620921052e+01,1.14713216957605990132e+01,2.36907730673316727632e+01,6.04534005037783384040e+00,1.84275184275184287230e+01,5.26315789473684159105e+00,6.53266331658291488083e+00,1.14713216957605990132e+01,1.04477611940298498183e+01,5.73566084788029950658e+00,1.67500000000000000000e+01
2000,67108864,1048576,5.37679648852174977947e+02,8.82352941176470650930e+00,3.15508021390374331361e+01,2.68817204301075252104e+00,4.31266846361186040326e+01,1.34408602150537621611e+01,2.63157894736842079553e+00,1.34770889487870637602e+00,1.34408602150537621611e+01,1.89189189189189193030e+01,5.88235294117647011802e+00,5.09383378016085774931e+00,7.50670241286863237917e+00
2000,67108864,1048576,5.41918037606402208439e+02,1.18918918918918929961e+01,2.25543478260869569851e+01,4.85175202156334250958e+00,2.98913043478260860297e+01,1.00000000000000000000e+01,3.67454068241469800071e+00,1.59891598915989163743e+01,1.85983827493261451025e+01,1.19241192411924110672e+01,1.08991825613079011958e+01,4.60704607046070435672e+00,9.40860215053763404569e+00
2000,67108864,1048576,5.31710835442674579099e+02,3.98936170212765972565e+00,3.97877984084880598203e+00,2.66666666666666696273e+00,3.20954907161803717486e+01,1.25668449197860958577e+01,3.59897172236503859466e+00,4.65608465608465564856e+01,4.23280423280423256926e+00,1.58602150537634400962e+01,1.59574468085106389026e+01,2.65251989389920428408e+00,1.19363395225464188343e+01
2000,67108864,1048576,5.17147713159883664957e+02,3.10077519379844979142e+00,3.36787564766839375707e+00,2.82051282051282070640e+00,1.39534883720930231732e+01,2.46113989637305685676e+01,3.96946564885496187003e+01,8.31168831168831090395e+00,4.38144329896907169797e+00,1.21134020618556697002e+01,1.73126614987080102992e+01,2.07253886010362720071e+00,2.04134366925064583143e+01
2000,67108864,1048576,4.89982791804351847986e+02,1.51589242053789732267e+01,2.33576642335766422320e+01,2.93398533007334982869e+00,2.89215686274509842235e+01,2.00488997555012247176e+01,3.80047505938242302648e+00,3.44827586206896530285e+00,4.65686274509803954658e+00,2.95566502463054181504e+00,2.05882352941176449690e+01,2.00488997555012247176e+01,8.55745721271393655627e+00
