FileSizeMB,BlockSizeMB,ThroughputMBs,CPU
3000,1048576,1.74813255739556211665e+02,1.33255463084635241700e+01
3000,1048576,1.83750896015306693698e+02,1.37480210408048613147e+01
3000,1048576,2.21666348698604252832e+02,1.39782957208040450325e+01
3000,1048576,1.83853349253399130703e+02,1.39783297556986596533e+01
3000,1048576,2.06109738458421446694e+02,1.39966756462429060548e+01
3000,1048576,2.08681599736449044258e+02,1.39001741149158455357e+01
3000,1048576,1.82756030385504971036e+02,1.38801422041645494687e+01
3000,1048576,2.21280860658630672333e+02,1.37818539948294969122e+01
3000,1048576,1.88594010279379403983e+02,1.37305291865526815087e+01
3000,1048576,2.01559059323870144453e+02,1.36068510019030561864e+01
3000,2097152,2.31729678987192983186e+02,1.39504816083780465163e+01
3000,2097152,2.09727540854400643866e+02,1.40558502885792577786e+01
3000,2097152,2.39499771197885252150e+02,1.40345034303603544146e+01
3000,2097152,2.29601372220254461354e+02,1.41432225063938634690e+01
3000,2097152,2.09252416446905129987e+02,1.40003494263583938562e+01
3000,2097152,2.29048477652198130272e+02,1.45738908394510069400e+01
3000,2097152,2.13942718263469743079e+02,1.42823080591320934474e+01
3000,2097152,2.04226077450833770399e+02,1.38190096755833788933e+01
3000,2097152,2.44279642540713467724e+02,1.76249914739785822348e+01
3000,2097152,2.13949782562835991939e+02,1.41699439876057677878e+01
3000,4194304,2.50866576778384796853e+02,1.32769939935745213688e+01
3000,4194304,2.92679814429290445332e+02,1.32762137902896792951e+01
3000,4194304,2.99713953003253720908e+02,1.35310781536410598136e+01
3000,4194304,2.53382979505117702956e+02,1.31525040615949713185e+01
3000,4194304,2.41342054898881713143e+02,1.38275746393827585479e+01
3000,4194304,2.80557373982979527227e+02,1.37475728155339815828e+01
3000,4194304,2.37319166750255760689e+02,1.32360707684182727917e+01
3000,4194304,2.36505825099054561633e+02,1.36052631578947362812e+01
3000,4194304,2.77691462015001434338e+02,1.35904357886617805917e+01
3000,4194304,2.76754605750148868992e+02,1.37055837563451774486e+01
3000,8388608,2.56905557149797289185e+02,1.31992009132420093920e+01
3000,8388608,2.85692083358093327661e+02,1.32778438367023383648e+01
3000,8388608,3.12750950059198544295e+02,1.32446299678232879415e+01
3000,8388608,2.53970231979796153610e+02,1.28080208995269373418e+01
3000,8388608,2.65676672729113136029e+02,1.32539917208752218158e+01
3000,8388608,3.01023238191259736141e+02,1.33812829305009621805e+01
3000,8388608,3.02521638868625529994e+02,1.25978947368421057007e+01
3000,8388608,2.62069410131550966980e+02,1.29469161872861011631e+01
3000,8388608,2.79567032672719562925e+02,1.30817120622568090482e+01
3000,8388608,3.02380490410758682174e+02,1.26524774964246660147e+01
3000,16777216,3.09993989216549096000e+02,1.28127696289905088634e+01
3000,16777216,2.81458235116136677334e+02,1.29012055738218247569e+01
3000,16777216,3.16661024822741069329e+02,1.30312114265561636017e+01
3000,16777216,3.39628767643431444867e+02,1.27192155383745042485e+01
