FileSizeMB,BlockSizeMB,ThroughputMBs,CPU
3000,1048576,1.27867219950968888043e+02,1.38753252307801968612e+01
3000,1048576,1.23819377080397700297e+02,1.41248191775160147898e+01
3000,1048576,1.32001636292283478724e+02,1.44038644514381921624e+01
3000,1048576,1.25346824217039866767e+02,1.40159565202243676652e+01
3000,1048576,1.31841711368697588114e+02,1.44815955418683088851e+01
3000,1048576,1.28325551315441686029e+02,1.37538890676965976922e+01
3000,1048576,1.20507021241170093617e+02,1.39979825151311345621e+01
3000,1048576,1.31744083955059295477e+02,1.41083562901744734575e+01
3000,1048576,1.27217836245964491582e+02,1.38770735857082101461e+01
3000,1048576,1.24148542738197917856e+02,1.46163426278281320947e+01
3000,2097152,1.59487606723125622921e+02,1.39191049149758026005e+01
3000,2097152,1.56559163577449936611e+02,1.61356494413407816069e+01
3000,2097152,1.82745621384454011604e+02,1.47927790490719548444e+01
3000,2097152,1.56711597274597266960e+02,1.36613451975922526316e+01
3000,2097152,1.83847220018609021963e+02,1.40947503201024346708e+01
3000,2097152,2.06107586098867756164e+02,1.46509228476441606404e+01
3000,2097152,1.55036932898154987015e+02,1.38248250842187090370e+01
3000,2097152,1.84428663361868956372e+02,1.40377009605013096660e+01
3000,2097152,1.74605595061688148917e+02,1.37145355616012434297e+01
3000,2097152,1.75534370507417207818e+02,1.51812283526025666447e+01
3000,4194304,2.13716449990243830825e+02,1.39185660018993360154e+01
3000,4194304,2.35717836635124740496e+02,1.39358218729535057179e+01
3000,4194304,2.04116637962197472689e+02,1.38740782756664771114e+01
3000,4194304,1.87578970746684348114e+02,1.38858540138390296192e+01
3000,4194304,2.17907365835524387876e+02,1.36179231002119287552e+01
3000,4194304,2.07081454040376598869e+02,1.34526558891454950384e+01
3000,4194304,2.41498702306723146194e+02,1.34862447030335648179e+01
3000,4194304,2.09950036090411202849e+02,1.36611062335381916455e+01
3000,4194304,2.07719478998002784920e+02,1.40394516110371956330e+01
3000,4194304,1.77837520646195144991e+02,1.32194155522535918834e+01
3000,8388608,2.39747842808847366314e+02,1.28486388870309671262e+01
3000,8388608,2.63431979535901348299e+02,1.49801441388439489089e+01
3000,8388608,2.68208927602364155973e+02,1.31313131313131332689e+01
3000,8388608,2.30199716670188735179e+02,1.32709321707911271915e+01
3000,8388608,2.53821966565216854406e+02,1.34480560866794132124e+01
