FileSizeMB,BlockSizeMB,ThroughputMBs,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,CPU9,CPU10,CPU11
3000,1048576,1.62922349036151388191e+02,1.27018299246501626953e+01,1.82115594329334804513e+01,1.29841789416257515910e+01,1.07298474945533772740e+01,1.31952017448200642491e+01,1.83673469387755119442e+01,1.36690647482014391301e+01,1.23369565217391308209e+01,1.61764705882352934907e+01,1.29791894852135829552e+01,1.31478450627386802552e+01,1.89307146753955279905e+01
3000,1048576,1.77768876165904572417e+02,1.27797408716136615681e+01,9.23076923076923172573e+00,1.50000000000000000000e+01,1.48544266191325018411e+01,1.28859857482185287125e+01,2.11793020457280363189e+01,1.37910447761194010496e+01,1.57832042882668250883e+01,1.89934092270820862325e+01,1.22388059701492544207e+01,1.44893111638954881215e+01,9.38799762329174036779e+00
3000,1048576,1.76988738383565390677e+02,1.25878220140515217906e+01,1.34864546525323891757e+01,1.39383155397390261498e+01,1.43447461629279828799e+01,1.61232957913455834387e+01,1.07947805456702248250e+01,1.81163767246550690970e+01,1.33490844654459532848e+01,1.00890207715133524147e+01,1.89880952380952372494e+01,1.62130177514792883642e+01,1.15907746895328198633e+01
3000,1048576,1.76160866345047821824e+02,1.94964871194379369967e+01,1.23966942148760335130e+01,8.56467808623744808472e+00,1.22340425531914895885e+01,1.28250591016548458612e+01,2.03199052132701432072e+01,1.59952606635071070684e+01,1.43532191376255173765e+01,1.43863769817968272235e+01,1.23140987507436037163e+01,1.33529411764705869814e+01,1.32465996451803675882e+01
3000,1048576,1.76337318713480527776e+02,1.98014018691588766785e+01,2.09343583678296880635e+01,1.00176782557454320255e+01,1.56342182890855472266e+01,1.22652582159624401470e+01,1.08887580929958804887e+01,8.72127283441367140426e+00,1.71902786010669821337e+01,1.00415923945335716638e+01,1.20238095238095237249e+01,1.45734597156398102413e+01,1.44635447540011874423e+01
3000,1048576,1.75554791176990704571e+02,1.44592249855407750658e+01,1.81977764774722032826e+01,1.40340575455079275002e+01,1.42440163455925272729e+01,1.35087719298245616528e+01,1.89093064611736814129e+01,1.09613130128956619558e+01,1.25663716814159300839e+01,9.88165680473372809445e+00,2.09399167162403330167e+01,1.05294117647058822484e+01,1.12280701754385958679e+01
3000,1048576,1.73807841873796860455e+02,1.73510699826489300790e+01,1.66182452062754215660e+01,1.16965836711059640862e+01,1.25000000000000000000e+01,1.29672897196261676100e+01,1.95449241540256686278e+01,2.00702165008777058119e+01,1.48578061520603590395e+01,1.45338737695425592733e+01,7.04717530576587058988e+00,1.36707388016288540200e+01,1.03448275862068967967e+01
3000,1048576,1.75516706557713689563e+02,1.66763509587449156868e+01,1.89634864546525321316e+01,1.32903981264637014448e+01,1.99647680563711098500e+01,1.03123158515026513982e+01,1.83480825958702062906e+01,1.11176470588235289938e+01,9.52662721893491237779e+00,1.10850439882697955341e+01,1.34785167745732792355e+01,1.37115839243498829347e+01,1.19437939110070256987e+01
3000,1048576,1.76607770918528188986e+02,1.73505275498241502419e+01,2.02855443188578234981e+01,1.26777251184834121034e+01,1.42772861356932150301e+01,1.98691255205234966752e+01,1.36817381092190242242e+01,1.20710059171597627881e+01,1.63289630512514918337e+01,9.46745562130177553684e+00,1.38297872340425538340e+01,1.06357694592988707427e+01,7.04558910597986987057e+00
3000,1048576,1.75125183859552407739e+02,1.49971048060220049081e+01,1.38596491228070171076e+01,1.27934272300469462635e+01,1.64117647058823550310e+01,1.46470588235294130186e+01,1.29900526623756586986e+01,1.60327677004095967561e+01,1.34117647058823532547e+01,1.36496777973052125787e+01,1.08250438853130486194e+01,1.48257531010041354591e+01,1.28613569321533915968e+01
