FileSizeMB,BlockSizeMB,ThroughputMBs,CPU
3000,1048576,1.59634296981730500420e+02,1.37908061292471693093e+01
3000,1048576,2.09969241605797179773e+02,1.34462616822429907870e+01
3000,1048576,2.00820458677944031933e+02,1.39630848157028939482e+01
3000,1048576,1.96912064388669762138e+02,1.36732011827839237128e+01
3000,1048576,2.24399546084598171092e+02,1.37868678680551219884e+01
3000,1048576,1.90829218472293803188e+02,1.38299001911233823137e+01
3000,1048576,1.95639393557007849722e+02,1.38780169602087415370e+01
3000,1048576,2.18991497436120539533e+02,1.42292970411325097047e+01
3000,1048576,1.86230940892720354896e+02,1.40484321639242466517e+01
3000,1048576,2.17110413816790952524e+02,1.37714802532408810976e+01
3000,2097152,2.17524908777304091245e+02,1.37285774844062267164e+01
3000,2097152,2.16998113201405715245e+02,1.38274737223631767336e+01
3000,2097152,2.43704345037261589368e+02,1.38693058568329732338e+01
3000,2097152,2.60618895165267588254e+02,1.40420899854862106793e+01
3000,2097152,2.02532698397824589165e+02,1.39792231255645873489e+01
3000,2097152,2.30965604833093863135e+02,1.50863452526160379819e+01
3000,2097152,2.46444321861213239799e+02,1.41728496839791162643e+01
3000,2097152,1.98545193187782047062e+02,1.36723288883970557350e+01
3000,2097152,2.40640160580783430078e+02,1.76340482573726546889e+01
3000,2097152,2.24385934233081030698e+02,1.45839844970932048795e+01
3000,4194304,2.41382503807607832869e+02,1.31066980814540539058e+01
3000,4194304,2.81199322609578473475e+02,1.36374305609889674429e+01
3000,4194304,2.89619431378585602488e+02,1.35938759065269945125e+01
3000,4194304,2.45943792497550191456e+02,1.31261149993138452885e+01
3000,4194304,2.58270021307276749667e+02,1.39264156366772056117e+01
3000,4194304,2.81722466183443771115e+02,1.31688536182918198847e+01
3000,4194304,2.71441184395606342150e+02,1.30369140182682858864e+01
3000,4194304,2.85847572353737518824e+02,1.33439490445859867407e+01
3000,4194304,2.52765166668295591990e+02,1.32396345748418831079e+01
3000,4194304,2.60069343155863464290e+02,1.36600928074245953070e+01
3000,8388608,3.04687464294437802437e+02,1.29210146771867311344e+01
3000,8388608,3.01199164232559098764e+02,1.29259694477085762543e+01
3000,8388608,2.57621562169063622605e+02,1.30219543693499772985e+01
3000,8388608,2.89908992735363824522e+02,1.29428895000808932281e+01
3000,8388608,3.13022715328065032736e+02,1.30052264808362370019e+01
3000,8388608,3.24052540582719927897e+02,1.34578933116707286644e+01
3000,8388608,2.55768278032395102173e+02,1.29790568457045178974e+01
3000,8388608,2.66978711384532914508e+02,1.28186074162146077526e+01
3000,8388608,2.96108921495306617544e+02,1.31880828587934324503e+01
3000,8388608,3.09858264632591783538e+02,1.29974160206718334365e+01
3000,16777216,3.24662886292018697532e+02,1.26176683562635787439e+01
3000,16777216,2.83250839673509972272e+02,1.30956137582833704869e+01
3000,16777216,3.16142155216946207474e+02,1.31565079922712104832e+01
3000,16777216,3.38112058901825548674e+02,1.30131826741996228236e+01
3000,16777216,3.22066758212353420276e+02,1.30520646319569113558e+01
3000,16777216,2.85735947220379728151e+02,1.27585109767737812092e+01
3000,16777216,3.09120253033474341464e+02,1.40101610264358917846e+01
3000,16777216,3.44770758474982415009e+02,1.40204804287491633374e+01
3000,16777216,3.18702447602927350090e+02,1.22780539772727284031e+01
3000,16777216,2.98052702473658598592e+02,1.28933167289331684913e+01
3000,33554432,3.41672885113175709648e+02,1.25856164383561655029e+01
3000,33554432,3.79475870457563132732e+02,1.23942470389170900091e+01
3000,33554432,3.95543751358033546239e+02,1.22219775379872270804e+01
3000,33554432,3.59642069826425938572e+02,1.25187631341939358265e+01
3000,33554432,3.11807948753739992753e+02,1.24782910732893359551e+01
3000,33554432,3.64364739792564705567e+02,1.25823118225103840473e+01
3000,33554432,3.61192556688268780363e+02,1.23214644940655801975e+01
3000,33554432,3.89003493640376404983e+02,1.23971416197488100153e+01
3000,33554432,4.02514373117406705660e+02,1.24103139013452921091e+01
3000,33554432,3.80704524178354006381e+02,1.25238802801952875399e+01
3000,67108864,3.55379119036486656569e+02,1.25024708440403244936e+01
3000,67108864,3.43480078327197077215e+02,1.27781491739088934878e+01
3000,67108864,3.46941336267686040173e+02,1.27525862902446114333e+01
3000,67108864,3.78503379972099253337e+02,1.23380044252449696529e+01
3000,67108864,3.97842895818870090352e+02,1.23727312970340861398e+01
3000,67108864,3.52561985685513320732e+02,1.23672827369248921059e+01
3000,67108864,3.55166987086483516123e+02,1.24740740740740729819e+01
3000,67108864,3.78216876364811355415e+02,1.25197597217831155803e+01
3000,67108864,3.75044020791940454274e+02,1.25834724540901490286e+01
3000,67108864,3.99621265605876430982e+02,1.24944419742107601934e+01
3000,134217728,3.23937175624159465315e+02,1.24684684684684690126e+01
3000,134217728,3.39592821415266655549e+02,1.23428787449201404769e+01
3000,134217728,3.85207122017437541217e+02,1.19892761394101867722e+01
3000,134217728,3.44242927184818086062e+02,1.24868130814232287662e+01
3000,134217728,4.04769807410525629621e+02,1.23000675827889160985e+01
3000,134217728,4.18812382104314451681e+02,1.21367720854242033823e+01
3000,134217728,3.92870757699710281940e+02,1.29148866250410776502e+01
3000,134217728,3.72132394286179987830e+02,1.24391002384160884731e+01
3000,134217728,3.51801092600380002295e+02,1.26861285266457670673e+01
3000,134217728,3.34987763455313938721e+02,1.36096879366557974578e+01
