Provider,Operation,Throughput

provider9,write,408
provider9,write,126
provider9,write,179
provider9,write,434
provider9,write,439
provider9,write,463

provider9,read,655
provider9,read,670
provider9,read,723
provider9,read,707
provider9,read,663

provider8,write,570
provider8,write,372
provider8,write,557
provider8,write,556
provider8,write,158

provider8,read,869
provider8,read,800
provider8,read,840
provider8,read,943
provider8,read,790

provider7,write,518
provider7,write,515
provider7,write,332
provider7,write,265
provider7,write,445

provider7,read,869
provider7,read,849
provider7,read,818
provider7,read,681
provider7,read,793

provider6,write,627
provider6,write,584
provider6,write,492
provider6,write,667
provider6,write,646
provider6,write,81
provider6,write,525

provider6,read,826
provider6,read,829
provider6,read,843
provider6,read,886
provider6,read,999

provider5,write,381
provider5,write,410
provider5,write,449
provider5,write,129
provider5,write,445

provider5,read,721
provider5,read,710
provider5,read,740
provider5,read,672
provider5,read,785
provider5,read,656

provider4,write,486
provider4,write,496
provider4,write,473
provider4,write,284
provider4,write,405
provider4,write,209

provider4,read,732
provider4,read,756
provider4,read,768
provider4,read,848
provider4,read,812

provider3,write,502
provider3,write,368
provider3,write,580
provider3,write,492
provider3,write,43
provider3,write,451

provider3,read,966
provider3,read,783
provider3,read,758
provider3,read,989
provider3,read,852

provider2,write,567
provider2,write,244
provider2,write,616
provider2,write,34
provider2,write,358
provider2,write,514

provider2,read,789
provider2,read,781
provider2,read,795
provider2,read,938
provider2,read,908
provider2,read,845

provider1,write,569
provider1,write,542
provider1,write,559
provider1,write,487
provider1,write,486

provider1,read,900
provider1,read,861
provider1,read,878
provider1,read,878
provider1,read,743
