ProviderId,Operation,Throughput
9,write,408
9,write,434
9,write,439
9,write,463
9,read,655
9,read,670
9,read,723
9,read,707
9,read,663
8,write,570
8,write,372
8,write,557
8,write,556
8,read,869
8,read,800
8,read,840
8,read,943
8,read,790
7,write,518
7,write,515
7,write,332
7,write,445
7,read,869
7,read,849
7,read,818
7,read,681
7,read,793
6,write,627
6,write,584
6,write,492
6,write,667
6,write,646
6,write,525
6,read,826
6,read,829
6,read,843
6,read,886
6,read,999
5,write,381
5,write,410
5,write,449
5,write,445
5,read,721
5,read,710
5,read,740
5,read,672
5,read,785
5,read,656
4,write,486
4,write,496
4,write,473
4,write,284
4,write,405
4,read,732
4,read,756
4,read,768
4,read,848
4,read,812
3,write,502
3,write,368
3,write,580
3,write,492
3,write,451
3,read,966
3,read,783
3,read,758
3,read,989
3,read,852
2,write,567
2,write,244
2,write,616
2,write,358
2,write,514
2,read,789
2,read,781
2,read,795
2,read,938
2,read,908
2,read,845
1,write,569
1,write,542
1,write,559
1,write,487
1,write,486
1,read,900
1,read,861
1,read,878
1,read,878
1,read,743
