Provider,Operation,Throughput

provider1,read,965
provider1,read,927
provider1,read,882
provider1,read,876
provider1,read,862

provider1,write,555
provider1,write,503
provider1,write,532
provider1,write,471
provider1,write,574

provider2,read,23
provider2,read,868
provider2,read,917
provider2,read,793
provider2,read,774
provider2,read,965

provider2,write,553
provider2,write,561
provider2,write,597
provider2,write,582
provider2,write,626

provider3,read,53
provider3,read,897
provider3,read,783
provider3,read,857
provider3,read,658
provider3,read,796

provider3,write,593
provider3,write,558
provider3,write,314
provider3,write,532
provider3,write,531

provider4,read,51
provider4,read,917
provider4,read,813
provider4,read,754
provider4,read,672
provider4,read,861

provider4,write,575
provider4,write,157
provider4,write,475
provider4,write,313
provider4,write,450
provider4,write,368

provider5,read,55
provider5,read,695
provider5,read,701
provider5,read,636
provider5,read,747
provider5,read,605

provider5,write,374
provider5,write,461
provider5,write,440
provider5,write,431
provider5,write,411

provider6,read,39
provider6,read,769
provider6,read,827
provider6,read,824
provider6,read,779
provider6,read,732

provider6,write,528
provider6,write,186
provider6,write,399
provider6,write,488
provider6,write,590
provider6,write,519

provider7,read,18
provider7,read,750
provider7,read,706
provider7,read,732
provider7,read,792
provider7,read,762

provider7,write,468
provider7,write,421
provider7,write,525
provider7,write,208
provider7,write,366

provider8,read,57
provider8,read,823
provider8,read,919
provider8,read,831
provider8,read,976
provider8,read,670

provider8,write,491
provider8,write,231
provider8,write,228
provider8,write,433
provider8,write,47
provider8,write,393

provider9,read,57
provider9,read,664
provider9,read,662
provider9,read,628
provider9,read,676
provider9,read,648

provider9,write,276
provider9,write,426
provider9,write,264
provider9,write,277
provider9,write,375
provider9,write,506
provider9,write,308
